UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
India Post Payment Bank,2022-08-01 00:00:00,0.7957,0.185,0.0193,65.32,0.43,97.79
Rajasthan Marudhara Gramin Bank,2024-07-01 00:00:00,0.7963,0.099,0.1047,0.2642,0.35,25.58
Maharashtra Gramin Bank,2023-03-01 00:00:00,0.7968,0.1549,0.0483,0.4217,0.14,17.65
Maharashtra Gramin Bank,2023-07-01 00:00:00,0.7969,0.1211,0.082,0.9996,0.066891,19.04
Maharashtra Gramin Bank,2023-01-01 00:00:00,0.7969,0.1463,0.0568,0.3627,0.15,16.24
Fino Payments Bank,2022-03-01 00:00:00,0.7979,0.1501,0.052,0.782,0.34,30.13
Maharashtra Gramin Bank,2023-05-01 00:00:00,0.798,0.1139,0.088,0.2867,0.05,18.29
Andhra Pragathi Grameena Bank,2024-07-01 00:00:00,0.798,0.1221,0.0799,0.6011,0.08,17.96
Andhra Pragathi Grameena Bank,2022-12-01 00:00:00,0.7984,0.1492,0.0524,0.7093,0.07,10.58
Maharashtra Gramin Bank,2023-04-01 00:00:00,0.7986,0.1429,0.0585,0.1755,0.22,17.58
Equitas Bank,2022-06-01 00:00:00,0.8009,0.1441,0.055,0.5491,0.19,19.63
RBL,2023-12-01 00:00:00,0.8011,0.0609,0.138,0.3977,0.25,14.97
India Post Payment Bank,2024-03-01 00:00:00,0.8017,0.1385,0.0598,0.4699,3.15,312.23
Rajasthan Marudhara Gramin Bank,2022-02-01 00:00:00,0.8018,0.1508,0.0474,0.1298,0.18,7.25
Bandhan Bank,2022-05-01 00:00:00,0.8041,0.1672,0.0287,0.6061,0.16,26.8
Baroda U.P. Bank,2023-10-01 00:00:00,0.8046,0.1092,0.0862,0.22,0.47,17.16
Andhra Pradesh Grameena Vikas Bank,2023-02-01 00:00:00,0.8056,0.1246,0.0698,0.3254,0.17,16.28
India Post Payment Bank,2023-05-01 00:00:00,0.8061,0.1566,0.0373,0.6811,0.63,167.39
Rajasthan Marudhara Gramin Bank,2023-02-01 00:00:00,0.8063,0.1095,0.0841,0.484,0.09,12.76
India Post Payment Bank,2022-02-01 00:00:00,0.8074,0.1611,0.0315,0.282,1.1,46.47
Rajasthan Marudhara Gramin Bank,2023-01-01 00:00:00,0.8076,0.1192,0.0732,0.2985,0.13,13.29
Andhra Pragathi Grameena Bank,2024-06-01 00:00:00,0.8076,0.1296,0.0628,0.9961,0.13,18.35
Maharashtra Gramin Bank,2023-06-01 00:00:00,0.8091,0.1075,0.0834,0.2611,0.16,17.89
Baroda Rajasthan Kshetriya Gramin Bank,2022-02-01 00:00:00,0.8109,0.0847,0.1044,0.1284,0.28,5.94
Baroda Rajasthan Kshetriya Gramin Bank,2022-10-01 00:00:00,0.8113,0.1056,0.0832,0.2794,0.28,7.84
Sarva Haryana Gramin Bank,2022-07-01 00:00:00,0.8114,0.1097,0.0789,0,0.01,8.75
Baroda Rajasthan Kshetriya Gramin Bank,2023-01-01 00:00:00,0.8115,0.0994,0.0891,0.2979,0.12,8.11
Andhra Pradesh Grameena Vikas Bank,2023-04-01 00:00:00,0.8116,0.1274,0.061,0.1473,0.21,18.59
Fino Payments Bank,2022-02-01 00:00:00,0.8119,0.1588,0.0293,0.919,0.24,23.81
India Post Payment Bank,2022-04-01 00:00:00,0.812,0.1729,0.015,0.6774,0.6,66.48
Airtel Payments Bank,2022-11-01 00:00:00,0.8121,0.1336,0.0543,0.4526,1.78,140.25
Equitas Bank,2022-10-01 00:00:00,0.8126,0.1391,0.0483,0.4477,0.45,22.13
India Post Payment Bank,2022-10-01 00:00:00,0.8127,0.161,0.0263,0.8098,0.81,114.22
Equitas Bank,2022-08-01 00:00:00,0.8132,0.1591,0.0278,57.95,0.11,21.68
India Post Payment Bank,2022-11-01 00:00:00,0.8141,0.1523,0.0336,0.7379,1.02,121.93
Equitas Bank,2022-03-01 00:00:00,0.8151,0.1478,0.0371,0.6662,0.14,16.44
RBL,2024-02-01 00:00:00,0.8163,0.0831,0.1006,0.4724,0.26,15.27
Karnataka Bank,2022-07-01 00:00:00,0.8172,0.076,0.1068,0.1735,1.58,57.65
Rajasthan Marudhara Gramin Bank,2022-12-01 00:00:00,0.8174,0.1224,0.0603,0.6281,0.09,12.33
Pragathi Krishna Gramin Bank,2024-01-01 00:00:00,0.8175,0.0784,0.1041,0.7798,0.3,24.49
Karnataka Vikas Grameena Bank,2022-05-01 00:00:00,0.8176,0.1527,0.0297,0.127,0.1,6.45
Fino Payments Bank,2023-04-01 00:00:00,0.8179,0.1543,0.0278,0.7901,0.38,77.3
Fino Payments Bank,2022-11-01 00:00:00,0.8188,0.1609,0.0203,0.4755,0.43,54.03
Central Bank of India,2022-08-01 00:00:00,0.8196,0.1089,0.0715,36.67,1.22,113.76
Maharashtra Gramin Bank,2022-03-01 00:00:00,0.8197,0.1721,0.0082,0.2664,0.1,12.17
