UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
Punjab National Bank,2024-07-01 00:00:00,0.8963,0.1027,0.001,0.9314,3.21,837.23
Karnataka Gramin Bank,2024-07-01 00:00:00,0.8964,0.0723,0.0313,0.7314,0.42,28.68
Pragathi Krishna Gramin Bank,2024-05-01 00:00:00,0.8964,0.0736,0.03,0.55,0.4,27.76
Equitas Bank,2023-04-01 00:00:00,0.8964,0.0984,0.0051,0.9437,0.11,24.78
Bandhan Bank,2022-12-01 00:00:00,0.8966,0.0833,0.0201,0.901,0.18,33.77
Fino Payments Bank,2024-01-01 00:00:00,0.8966,0.0941,0.0093,0.6781,0.63,115.14
Ujjivan Small Finance Bank,2022-11-01 00:00:00,0.8969,0.0655,0.0376,0.8848,0.09,19.93
RBL,2022-06-01 00:00:00,0.8969,0.0895,0.0136,0.835,0.04,7.41
Kerala Gramin Bank,2023-06-01 00:00:00,0.8973,0.0833,0.0195,0.6823,0.1,17.62
Paytm Payments Bank,2024-03-01 00:00:00,0.8973,0.1025,0.0003,0.9643,0.35,98.18
Punjab and Sind Bank,2023-12-01 00:00:00,0.8974,0.0625,0.0401,0.2484,0.57,31.5
Bank of Maharashtra,2024-03-01 00:00:00,0.8977,0.0541,0.0483,0.5923,1.43,153.39
Pragathi Krishna Gramin Bank,2023-05-01 00:00:00,0.8978,0.0971,0.0051,0.9523,0.06,17.5
Bandhan Bank,2024-02-01 00:00:00,0.898,0.0616,0.0404,0.7485,0.56,49.32
Kerala Gramin Bank,2023-03-01 00:00:00,0.898,0.091,0.0111,0.8782,0.08,16.26
RBL,2022-07-01 00:00:00,0.8982,0.0806,0.0212,0,0.01,7.99
Pragathi Krishna Gramin Bank,2024-03-01 00:00:00,0.8982,0.0808,0.021,0.4995,0.3,26.2
RBL,2022-09-01 00:00:00,0.8983,0.084,0.0177,0.801,0.06,9
Canara Bank,2022-04-01 00:00:00,0.8984,0.0812,0.0204,0.804,4.63,255.29
Fino Payments Bank,2023-11-01 00:00:00,0.8984,0.0833,0.0183,0.57,0.49,100.6
Sarva Haryana Gramin Bank,2024-06-01 00:00:00,0.8985,0.0783,0.0232,0.9624,0.13,19.34
Bank of Maharashtra,2022-09-01 00:00:00,0.8986,0.0631,0.0383,0.6131,0.52,83.51
Jammu and Kashmir Bank,2022-09-01 00:00:00,0.8986,0.0712,0.0302,0.7374,0.11,17.61
Sarva Haryana Gramin Bank,2023-11-01 00:00:00,0.8989,0.0671,0.034,0.2,0.22,14.28
Ujjivan Small Finance Bank,2022-08-01 00:00:00,0.8989,0.0746,0.0265,59.23,0.09,17.83
Airtel Payments Bank,2024-09-01 00:00:00,0.8991,0.0982,0.0027,0.9712,1.74,449.25
Sarva Haryana Gramin Bank,2023-03-01 00:00:00,0.8992,0.078,0.0228,0.3749,0.13,11.26
Kerala Gramin Bank,2023-10-01 00:00:00,0.8993,0.0797,0.021,0.57,0.18,22.94
Airtel Payments Bank,2024-01-01 00:00:00,0.8995,0.0898,0.0107,0.699,1.93,337.05
Central Bank of India,2023-01-01 00:00:00,0.8997,0.0888,0.0115,0.7808,1.24,130.32
The Jammu And Kashmir Bank,2024-07-01 00:00:00,0.8999,0.0467,0.0534,0.3187,0.74,68.27
Fino Payments Bank,2023-12-01 00:00:00,0.9001,0.0854,0.0145,0.7176,0.49,107.84
Airtel Payments Bank,2024-08-01 00:00:00,0.9001,0.0984,0.0015,0.9733,1.81,437.93
Sarva Haryana Gramin Bank,2023-06-01 00:00:00,0.9004,0.0689,0.0307,0.485,0.08,12.47
Central Bank of India,2023-02-01 00:00:00,0.9005,0.0878,0.0118,0.7498,1.16,123.73
AU Small Finance Bank,2024-10-01 00:00:00,0.9005,0.0988,0.0007,0.9471,0.29,76.76
Central Bank of India,2023-05-01 00:00:00,0.9006,0.0841,0.0153,0.8086,1.22,150.03
Tamilnad Mercantile Bank,2023-01-01 00:00:00,0.9007,0.0834,0.0159,0.54,0.11,21.15
Kerala Gramin Bank,2024-01-01 00:00:00,0.901,0.0594,0.0396,0.67,0.25,23.61
Equitas Bank,2023-07-01 00:00:00,0.901,0.0875,0.0114,0.9898,0.092811,25.64
Central Bank of India,2022-01-01 00:00:00,0.9013,0.0697,0.029,0.6332,2.34,95.53
Jammu and Kashmir Bank,2022-10-01 00:00:00,0.9014,0.0673,0.0314,0.7574,0.76,19.69
UCO Bank,2023-09-01 00:00:00,0.9015,0.0519,0.0465,0.46,2.02,135.33
Tamilnad Mercantile Bank,2022-02-01 00:00:00,0.9018,0.0892,0.009,0.4289,0.14,10.92
Kerala Gramin Bank,2023-11-01 00:00:00,0.9019,0.0784,0.0197,0.54,0.19,23.92
Union Bank of India,2022-01-01 00:00:00,0.9021,0.0882,0.0097,0.468,3.17,287.21
Jammu and Kashmir Bank,2023-05-01 00:00:00,0.9022,0.0687,0.029,0.5276,0.15,31.55
Tamilnad Mercantile Bank,2023-02-01 00:00:00,0.9023,0.0807,0.0171,0.6578,0.1,20.22
Central Bank of India,2023-03-01 00:00:00,0.9023,0.0868,0.0109,0.7795,1.26,141.31
Bandhan Bank,2022-11-01 00:00:00,0.9025,0.0653,0.0322,0.9827,0.11,31.07
State Bank of India,2022-05-01 00:00:00,0.9026,0.0731,0.0244,0.9247,6.99,1644.91
The Jammu And Kashmir Bank,2024-11-01 00:00:00,0.9029,0.0542,0.0429,0.1772,1.42,76.44
Karnataka Bank,2023-02-01 00:00:00,0.9029,0.0759,0.0211,0.5391,0.34,62.94
RBL,2024-07-01 00:00:00,0.9029,0.0887,0.0084,0.6052,0.1,17.66
State Bank of India,2022-04-01 00:00:00,0.903,0.0687,0.0283,0.9568,8.38,1540.38
IDFC First Bank,2022-09-01 00:00:00,0.9032,0.0589,0.0378,0.3619,0.16,50.04
IndusInd Bank,2022-03-01 00:00:00,0.9032,0.0827,0.0141,0.7885,0.61,47
Airtel Payments Bank,2023-07-01 00:00:00,0.9033,0.0855,0.0112,0.9996,0.222457,224.92
Tamilnad Mercantile Bank,2022-01-01 00:00:00,0.9033,0.0876,0.0091,0.3894,0.11,10.67
Equitas Bank,2023-05-01 00:00:00,0.9037,0.0935,0.0028,0.9662,0.07,25.3
State Bank of India,2022-09-01 00:00:00,0.9039,0.0677,0.0284,0.847,11.29,1865.75
Bank of Baroda,2024-04-01 00:00:00,0.9039,0.0802,0.0159,0.8139,8.48,898.17
UCO Bank,2022-09-01 00:00:00,0.904,0.0621,0.0339,0.4769,0.54,79.57
Equitas Bank,2023-06-01 00:00:00,0.904,0.0933,0.0026,0.9351,0.07,24.45
Bandhan Bank,2022-10-01 00:00:00,0.9043,0.0722,0.0235,0.9203,0.92,30.23
Karnataka Bank,2022-04-01 00:00:00,0.9045,0.0772,0.0183,0.3672,0.58,51.3
IndusInd Bank,2024-10-01 00:00:00,0.9046,0.0932,0.0022,0.9097,0.77,184.41
Airtel Payments Bank,2023-08-01 00:00:00,0.9047,0.0874,0.0079,0.01,0.86,248.48
Punjab and Sind Bank,2022-07-01 00:00:00,0.9047,0.0937,0.0016,0,0.01,15.97
Kotak Mahindra Bank,2024-11-01 00:00:00,0.9049,0.0928,0.0023,0.9077,2.31,804.07
Pragathi Krishna Gramin Bank,2023-09-01 00:00:00,0.9054,0.0796,0.015,0.39,0.15,19.97
Union Bank of India,2022-02-01 00:00:00,0.9055,0.0832,0.0114,0.4742,3.52,280.49
YES Bank,2022-09-01 00:00:00,0.906,0.0912,0.0028,0,0,99.75
Sarva Haryana Gramin Bank,2023-10-01 00:00:00,0.9062,0.0676,0.0262,0.35,0.16,14.65
Airtel Payments Bank,2024-04-01 00:00:00,0.9062,0.0866,0.0072,0.9518,2.03,395.64
Canara Bank,2022-07-01 00:00:00,0.9064,0.0789,0.0146,0.8645,2.75,285.57
Sarva Haryana Gramin Bank,2024-07-01 00:00:00,0.9064,0.0839,0.0096,0.642,0.14,20.25
Union Bank of India,2022-09-01 00:00:00,0.9065,0.0779,0.0156,0.6386,1.95,420.12
Sarva Haryana Gramin Bank,2023-08-01 00:00:00,0.9066,0.0673,0.0261,0.36,0.11,12.81
State Bank of India,2022-02-01 00:00:00,0.9066,0.0679,0.0255,0.7533,11.28,1242.45
IndusInd Bank,2022-01-01 00:00:00,0.9066,0.0882,0.0052,0.9296,0.27,39.77
Fino Payments Bank,2024-02-01 00:00:00,0.9066,0.0885,0.0049,0.6994,0.6,116.25
Tamilnad Mercantile Bank,2022-05-01 00:00:00,0.9069,0.0799,0.0132,0.311,0.1,14.92
Kerala Gramin Bank,2023-04-01 00:00:00,0.9069,0.0876,0.0055,0.8507,0.06,15.48
Canara Bank,2022-03-01 00:00:00,0.907,0.0773,0.0157,0.6167,2.88,248.09
City Union Bank,2022-06-01 00:00:00,0.9071,0.078,0.0149,0.9782,0.08,18.76
Union Bank of India,2022-03-01 00:00:00,0.9071,0.0807,0.0122,0.5571,2.65,325.96
RBL,2024-08-01 00:00:00,0.9075,0.0885,0.004,0.6786,0.07,18.51
Kerala Gramin Bank,2024-08-01 00:00:00,0.9077,0.0637,0.0287,0.7078,0.39,34.73
Bandhan Bank,2023-07-01 00:00:00,0.9079,0.0916,0.0005,1,0.144404,41.14
Indian Overseas Bank,2022-12-01 00:00:00,0.9082,0.0556,0.0362,0.8516,0.85,104.59
Canara Bank,2022-09-01 00:00:00,0.9083,0.0701,0.0216,0.8145,2.2,305.88
Kerala Gramin Bank,2023-05-01 00:00:00,0.9083,0.0856,0.0061,0.9455,0.07,17.19
Kerala Gramin Bank,2023-09-01 00:00:00,0.9084,0.0806,0.011,0.61,0.1,20.53
Canara Bank,2022-06-01 00:00:00,0.9084,0.0849,0.0067,0.9204,1.33,267.83
Punjab and Sind Bank,2024-02-01 00:00:00,0.9085,0.06,0.0316,0.3967,0.4,31.49
Karur Vysya Bank,2022-01-01 00:00:00,0.9087,0.082,0.0093,0.6696,0.25,27.44
Karnataka Bank,2022-02-01 00:00:00,0.9088,0.0775,0.0137,0.4548,0.39,42.93
Karur Vysya Bank,2022-02-01 00:00:00,0.9089,0.0851,0.006,0.784,0.23,27.14
Fino Payments Bank,2024-04-01 00:00:00,0.9089,0.0859,0.0051,0.755,0.78,134.12
Ujjivan Small Finance Bank,2022-04-01 00:00:00,0.9092,0.0704,0.0204,0.5564,0.15,14.48
Punjab National Bank,2024-10-01 00:00:00,0.9092,0.089,0.0018,0.9659,3.29,955.82
RBL,2023-01-01 00:00:00,0.9093,0.0744,0.0163,0.7258,0.07,10.64
City Union Bank,2022-05-01 00:00:00,0.9094,0.0813,0.0093,0.9219,0.08,18.71
Karnataka Bank,2023-04-01 00:00:00,0.9095,0.0677,0.0228,0.3672,0.58,73.39
Karur Vysya Bank,2022-08-01 00:00:00,0.9097,0.0746,0.0157,78.9,0.2,38.25
RBL,2022-11-01 00:00:00,0.9098,0.0719,0.0183,0.8711,0.05,9.68
Kerala Gramin Bank,2024-02-01 00:00:00,0.9099,0.0613,0.0288,0.4008,0.31,25.18
Jammu and Kashmir Bank,2023-09-01 00:00:00,0.91,0.0572,0.0328,0.02,0.42,37.82
Indian Bank,2023-09-01 00:00:00,0.9103,0.0447,0.045,0.65,3.3,294.13
IDFC First Bank,2022-10-01 00:00:00,0.9105,0.0526,0.0368,0.4681,0.47,55.62
Punjab National Bank,2024-11-01 00:00:00,0.9105,0.0885,0.001,0.9884,2.69,881.89
AU Small Finance Bank,2022-09-01 00:00:00,0.9106,0.0629,0.0266,0.0007,0,18.54
Union Bank of India,2022-06-01 00:00:00,0.9107,0.075,0.0142,0.6594,3.17,368.31
Central Bank of India,2022-03-01 00:00:00,0.9108,0.0667,0.0226,0.668,2.12,107.95
Equitas Bank,2023-08-01 00:00:00,0.9108,0.0855,0.0037,0.97,0.07,26.39
ESAF Small Finance Bank Ltd,2024-02-01 00:00:00,0.9109,0.0491,0.0399,0.7175,0.24,20.59
AU Small Finance Bank,2024-09-01 00:00:00,0.9109,0.0874,0.0017,0.9037,0.18,69.23
Jammu and Kashmir Bank,2023-10-01 00:00:00,0.9111,0.06,0.0289,0.05,0.3,41.53
Airtel Payments Bank,2024-02-01 00:00:00,0.9111,0.0865,0.0024,0.943,1.3,344.18
Airtel Payments Bank,2023-09-01 00:00:00,0.9111,0.0869,0.002,0,0.8,258.59
Airtel Payments Bank,2023-10-01 00:00:00,0.9112,0.0863,0.0025,0,0.97,285.5
Airtel Payments Bank,2023-11-01 00:00:00,0.9114,0.0822,0.0064,0,1.02,286.95
IndusInd Bank,2022-05-01 00:00:00,0.9119,0.0786,0.0095,0.7678,0.32,52.03
Pragathi Krishna Gramin Bank,2023-12-01 00:00:00,0.9121,0.0832,0.0046,0.89,0.11,23.88
Pragathi Krishna Gramin Bank,2024-06-01 00:00:00,0.9124,0.0693,0.0183,0.7282,0.17,26.98
State Bank of India,2022-12-01 00:00:00,0.9125,0.063,0.0245,0.959,14.35,2128.94
Airtel Payments Bank,2024-03-01 00:00:00,0.9125,0.0863,0.0012,0.9589,2.14,387.91
State Bank of India,2022-08-01 00:00:00,0.9126,0.0723,0.0151,91.23,8.02,1793.55
AU Small Finance Bank,2024-08-01 00:00:00,0.9126,0.0872,0.0002,0.9718,0.16,69.4
Airtel Payments Bank,2024-05-01 00:00:00,0.9127,0.082,0.0052,0.9634,1.75,413.75
Kerala Gramin Bank,2023-07-01 00:00:00,0.9127,0.083,0.0043,0.997,0.051573,18.76
UCO Bank,2022-01-01 00:00:00,0.9128,0.0747,0.0125,0.5287,0.56,48.84
Karur Vysya Bank,2022-12-01 00:00:00,0.913,0.0729,0.0141,0.4934,0.27,43.7
Karur Vysya Bank,2022-07-01 00:00:00,0.913,0.0743,0.0127,0.8921,0.21,36.87
Karnataka Bank,2023-05-01 00:00:00,0.9131,0.062,0.025,0.8002,0.2,74.77
Tamilnad Mercantile Bank,2022-03-01 00:00:00,0.9131,0.0807,0.0061,0.4492,0.1,13.05
Kotak Mahindra Bank,2024-10-01 00:00:00,0.9132,0.0858,0.001,0.8786,2.81,863.59
Pragathi Krishna Gramin Bank,2023-10-01 00:00:00,0.9133,0.0668,0.0199,0.59,0.17,21.54
UCO Bank,2023-06-01 00:00:00,0.9135,0.0518,0.0346,0.3934,1.15,111.61
Union Bank of India,2022-08-01 00:00:00,0.9135,0.0755,0.011,69.94,1.8,406.68
City Union Bank,2023-03-01 00:00:00,0.9135,0.0778,0.0087,0.9243,0.11,27.3
Union Bank of India,2022-04-01 00:00:00,0.9135,0.0809,0.0057,0.6696,3.01,346.76
IndusInd Bank,2022-04-01 00:00:00,0.9136,0.0837,0.0027,0.9393,0.29,49.05
IndusInd Bank,2022-06-01 00:00:00,0.9138,0.0797,0.0065,0.9325,0.24,52.65
Tamilnad Mercantile Bank,2024-06-01 00:00:00,0.9139,0.0744,0.0117,0.9795,0.21,38.2
IDFC First Bank,2024-11-01 00:00:00,0.9139,0.0841,0.002,0.0029,0.16,93.14
Tamilnad Mercantile Bank,2024-03-01 00:00:00,0.914,0.0686,0.0175,0.5203,0.23,36.68
Union Bank of India,2022-10-01 00:00:00,0.914,0.0744,0.0116,0.733,0.73,446.71
Karnataka Bank,2022-12-01 00:00:00,0.914,0.0776,0.0084,0.869,0.34,67.08
Central Bank of India,2022-05-01 00:00:00,0.9143,0.0597,0.026,0.5685,1.62,115.32
Karur Vysya Bank,2022-03-01 00:00:00,0.9145,0.0778,0.0077,0.7324,0.25,31.98
RBL,2024-09-01 00:00:00,0.9145,0.081,0.0044,0.6716,0.08,18.87
IDFC First Bank,2022-06-01 00:00:00,0.9148,0.0575,0.0278,0.4499,0.39,38.9
Canara Bank,2022-08-01 00:00:00,0.9149,0.0764,0.0087,84.29,1.47,297.1
IndusInd Bank,2024-08-01 00:00:00,0.9149,0.0834,0.0017,0.9815,0.67,165.7
IDFC First Bank,2022-05-01 00:00:00,0.915,0.0628,0.0222,0.3664,0.33,37.03
Kerala Gramin Bank,2024-09-01 00:00:00,0.9151,0.0635,0.0215,0.8081,0.31,35.02
Punjab and Sind Bank,2024-11-01 00:00:00,0.9151,0.084,0.001,0.9714,0.18,45.44
Union Bank of India,2022-05-01 00:00:00,0.9152,0.0815,0.0034,0.7668,1.82,370.84
IndusInd Bank,2024-09-01 00:00:00,0.9152,0.0837,0.0011,0.9354,0.66,165.88
Central Bank of India,2022-02-01 00:00:00,0.9153,0.0688,0.0159,0.763,1.58,91.62
Sarva Haryana Gramin Bank,2023-07-01 00:00:00,0.9154,0.0682,0.0164,0.999,0.09829,12.94
Jammu and Kashmir Bank,2024-01-01 00:00:00,0.9155,0.0721,0.0124,0.7087,0.31,44.46
City Union Bank,2022-08-01 00:00:00,0.9155,0.0738,0.0106,84.35,0.08,20.53
Jammu and Kashmir Bank,2023-11-01 00:00:00,0.9156,0.055,0.0294,0.12,0.41,43.2
Tamilnad Mercantile Bank,2022-04-01 00:00:00,0.9156,0.0808,0.0036,0.5686,0.08,13.74
Jammu and Kashmir Bank,2023-01-01 00:00:00,0.9159,0.0725,0.0116,0.8303,0.13,24.02
IndusInd Bank,2023-08-01 00:00:00,0.916,0.0532,0.0308,0.41,1,103.58
Indian Overseas Bank,2024-09-01 00:00:00,0.9162,0.0567,0.0271,0.8377,2.53,221.41
Karur Vysya Bank,2024-03-01 00:00:00,0.9162,0.0587,0.0251,0.7924,0.45,67.68
State Bank of India,2023-01-01 00:00:00,0.9162,0.0619,0.022,0.96,12,2153.2
RBL,2022-02-01 00:00:00,0.9162,0.0783,0.0055,0.8813,0.04,6.08
Equitas Bank,2023-09-01 00:00:00,0.9163,0.0828,0.0009,0.98,0.07,25.82
Tamilnad Mercantile Bank,2022-11-01 00:00:00,0.9164,0.0721,0.0115,0.2749,0.23,18.78
Tamilnad Mercantile Bank,2024-07-01 00:00:00,0.9164,0.0816,0.002,0.5768,0.23,40.33
Baroda U.P. Bank,2024-11-01 00:00:00,0.9165,0.0665,0.0169,0.4405,0.28,29.74
Karnataka Bank,2024-11-01 00:00:00,0.9167,0.0733,0.0101,0.6608,0.56,122.37
Indian Overseas Bank,2024-10-01 00:00:00,0.9168,0.0613,0.0219,0.8754,1.74,244.05
Punjab and Sind Bank,2023-10-01 00:00:00,0.9168,0.0634,0.0199,0.37,0.34,27.65
Karur Vysya Bank,2022-11-01 00:00:00,0.9168,0.0713,0.0119,0.5668,0.26,40.64
UCO Bank,2022-03-01 00:00:00,0.9169,0.0622,0.0209,0.4966,0.69,57.85
RBL,2024-11-01 00:00:00,0.9169,0.0795,0.0035,0.6363,0.09,23.47
Kotak Mahindra Bank,2022-04-01 00:00:00,0.917,0.0547,0.0283,0.8986,3.72,232.63
Bandhan Bank,2024-05-01 00:00:00,0.917,0.067,0.016,0.9655,0.27,59.24
State Bank of India,2022-01-01 00:00:00,0.917,0.071,0.0121,0.9566,8.17,1291.88
Karur Vysya Bank,2022-05-01 00:00:00,0.917,0.079,0.004,0.8939,0.13,35.28
Bandhan Bank,2023-11-01 00:00:00,0.9171,0.0691,0.0138,0.98,0.16,43.79
Karur Vysya Bank,2022-09-01 00:00:00,0.9171,0.0747,0.0082,0.8745,0.19,38.75
Tamilnad Mercantile Bank,2022-12-01 00:00:00,0.9171,0.0806,0.0024,0.5345,0.13,20.67
Ujjivan Small Finance Bank,2022-03-01 00:00:00,0.9172,0.0734,0.0094,0.4747,0.15,13.88
Equitas Bank,2024-07-01 00:00:00,0.9172,0.0751,0.0077,0.8182,0.15,33.37
IndusInd Bank,2022-02-01 00:00:00,0.9172,0.0772,0.0056,0.8887,0.33,39.64
YES Bank,2022-06-01 00:00:00,0.9172,0.0785,0.0043,0,0.2,73.71
Jammu and Kashmir Bank,2023-07-01 00:00:00,0.9174,0.0644,0.0182,0.9971,0.035887,31.04
Tamilnad Mercantile Bank,2024-08-01 00:00:00,0.9174,0.0781,0.0046,0.7729,0.14,41.5
Indian Bank,2022-09-01 00:00:00,0.9175,0.0594,0.0231,0.7257,1.06,175.26
City Union Bank,2022-07-01 00:00:00,0.9176,0.0719,0.0106,0,0,19.61
Sarva Haryana Gramin Bank,2024-04-01 00:00:00,0.9176,0.075,0.0074,0.6726,0.12,18.34
Kotak Mahindra Bank,2024-04-01 00:00:00,0.9177,0.0645,0.0178,0.4442,7.04,725.32
Central Bank of India,2022-04-01 00:00:00,0.9178,0.0592,0.0231,0.5935,2.05,109.91
Kotak Mahindra Bank,2024-09-01 00:00:00,0.9178,0.0755,0.0068,0.8679,2.13,771.17
Tamilnad Mercantile Bank,2022-06-01 00:00:00,0.9178,0.0789,0.0034,0.5139,0.07,15.15
Sarva Haryana Gramin Bank,2023-04-01 00:00:00,0.9179,0.0734,0.0087,0.0509,0.11,11.59
Bank of India,2024-11-01 00:00:00,0.918,0.0655,0.0165,0.4664,3.73,497.26
Federal Bank,2024-11-01 00:00:00,0.918,0.0801,0.0019,0.9778,0.57,230.2
IDFC First Bank,2023-02-01 00:00:00,0.9183,0.0493,0.0324,0.3514,0.64,67.51
Punjab National Bank,2022-07-01 00:00:00,0.9183,0.0717,0.01,0.8458,2.23,289.34
RBL,2022-10-01 00:00:00,0.9183,0.0737,0.008,0.8871,0.89,9.75
UCO Bank,2024-09-01 00:00:00,0.9183,0.0748,0.007,0.7419,0.81,202.25
Union Bank of India,2022-12-01 00:00:00,0.9184,0.0701,0.0115,0.6901,3.59,487.38
Tamilnad Mercantile Bank,2024-04-01 00:00:00,0.9184,0.0757,0.0059,0.876,0.13,36.11
Tamilnad Mercantile Bank,2024-11-01 00:00:00,0.9184,0.077,0.0046,0.756,0.13,42.47
Bank of Maharashtra,2023-03-01 00:00:00,0.9186,0.044,0.0374,0.5763,0.58,100.81
IndusInd Bank,2024-06-01 00:00:00,0.9186,0.0768,0.0046,0.7715,0.73,155.09
Punjab and Sind Bank,2024-09-01 00:00:00,0.9188,0.0747,0.0065,0.77,0.24,43.54
Punjab and Sind Bank,2024-07-01 00:00:00,0.9188,0.076,0.0052,0.8376,0.24,40.75
UCO Bank,2024-11-01 00:00:00,0.9188,0.0802,0.001,0.8984,0.68,206.37
UCO Bank,2022-11-01 00:00:00,0.9191,0.0584,0.0226,0.9487,0.6,83.44
ESAF Small Finance Bank Ltd,2023-06-01 00:00:00,0.9191,0.0611,0.0198,0.6968,0.05,14.37
IDFC First Bank,2022-03-01 00:00:00,0.9191,0.0709,0.01,0.4668,0.36,32.19
Bank of Maharashtra,2024-02-01 00:00:00,0.9192,0.0482,0.0326,0.6129,0.92,135.58
Kotak Mahindra Bank,2022-07-01 00:00:00,0.9192,0.055,0.0258,0.9326,3.38,270.94
Karnataka Bank,2024-01-01 00:00:00,0.9193,0.0749,0.0059,0.7755,0.42,97.36
City Union Bank,2022-02-01 00:00:00,0.9196,0.0658,0.0146,0.9115,0.18,14.32
Tamilnad Mercantile Bank,2022-10-01 00:00:00,0.9196,0.0768,0.0036,0.7423,0.74,18.51
South Indian Bank,2022-05-01 00:00:00,0.9197,0.0547,0.0256,0.911,0.18,24.34
Punjab and Sind Bank,2023-09-01 00:00:00,0.9197,0.0762,0.0041,0.89,0.13,27.65
Punjab and Sind Bank,2024-10-01 00:00:00,0.9197,0.0783,0.002,0.9265,0.22,47.91
AU Small Finance Bank,2022-08-01 00:00:00,0.9198,0.0633,0.0169,0.07,0,17.57
State Bank of India,2022-03-01 00:00:00,0.9198,0.0687,0.0115,0.991,7.41,1482.61
South Indian Bank,2022-02-01 00:00:00,0.9198,0.078,0.0022,0.9715,0.09,19.25
RBL,2022-01-01 00:00:00,0.9198,0.0787,0.0015,0.9258,0.03,6.05
Punjab National Bank,2022-09-01 00:00:00,0.9199,0.0565,0.0235,0.7772,2.77,318.28
Bank of Maharashtra,2023-07-01 00:00:00,0.9199,0.0638,0.0163,1,0.388401,111.27
Punjab National Bank,2024-08-01 00:00:00,0.9199,0.0792,0.0009,0.9513,2.96,835
Equitas Bank,2024-11-01 00:00:00,0.9199,0.0798,0.0003,0.9807,0.1,31.78
Equitas Bank,2024-06-01 00:00:00,0.92,0.0729,0.0071,0.7689,0.21,32.46
Karur Vysya Bank,2023-05-01 00:00:00,0.92,0.0739,0.0061,0.8659,0.12,47.89
City Union Bank,2023-04-01 00:00:00,0.9201,0.0723,0.0075,0.8207,0.14,26.6
UCO Bank,2024-07-01 00:00:00,0.9201,0.073,0.0068,0.7883,1,194.92
DBS Bank,2024-11-01 00:00:00,0.9203,0.0753,0.0044,0.72,0.11,28.24
IndusInd Bank,2024-04-01 00:00:00,0.9205,0.0707,0.0089,0.9386,1.03,150.57
Indian Bank,2022-04-01 00:00:00,0.9205,0.0713,0.0081,0.7864,1.2,138.63
State Bank of India,2022-07-01 00:00:00,0.9206,0.0726,0.0068,0.9883,7.91,1709.44
Karur Vysya Bank,2023-02-01 00:00:00,0.9207,0.0679,0.0114,0.8044,0.21,40.92
UCO Bank,2022-10-01 00:00:00,0.9209,0.0614,0.0176,0.4695,0.47,82.78
Equitas Bank,2024-08-01 00:00:00,0.9209,0.0725,0.0066,0.9325,0.12,32.89
IndusInd Bank,2024-07-01 00:00:00,0.9209,0.0783,0.0009,0.8752,0.81,161.53
IndusInd Bank,2023-09-01 00:00:00,0.921,0.0611,0.0179,0.64,0.53,103.02
State Bank of India,2024-10-01 00:00:00,0.921,0.0629,0.0161,0.9703,17.29,4478.41
Bank of Baroda,2024-11-01 00:00:00,0.921,0.0785,0.0004,0.9792,2.98,1035.67
IDFC First Bank,2022-04-01 00:00:00,0.9212,0.0657,0.0131,0.4268,0.38,33.01
Punjab and Sind Bank,2024-08-01 00:00:00,0.9212,0.0739,0.0049,0.8124,0.24,42.38
City Union Bank,2024-03-01 00:00:00,0.9212,0.0757,0.0031,0.9951,0.14,40.7
Bank of Baroda,2022-01-01 00:00:00,0.9213,0.0738,0.0049,0.9888,1.55,299.12
Ujjivan Small Finance Bank,2023-10-01 00:00:00,0.9215,0.0557,0.0228,0.64,0.18,34.85
Union Bank of India,2022-07-01 00:00:00,0.9215,0.0754,0.0031,0.884,2.1,391
Equitas Bank,2023-10-01 00:00:00,0.9215,0.0782,0.0003,0.98,0.09,27.66
Baroda U.P. Bank,2024-09-01 00:00:00,0.9216,0.0756,0.0028,0.9142,0.1,26.48
UCO Bank,2024-10-01 00:00:00,0.9216,0.0768,0.0016,0.9084,0.85,220.3
Karur Vysya Bank,2024-09-01 00:00:00,0.9219,0.0656,0.0125,0.8106,0.37,73.53
IndusInd Bank,2023-10-01 00:00:00,0.922,0.0573,0.0206,0.85,0.47,116.32
Karnataka Bank,2023-03-01 00:00:00,0.922,0.0653,0.0128,0.7884,0.24,72.22
City Union Bank,2022-09-01 00:00:00,0.922,0.0677,0.0103,0.9535,0.08,21.09
Kotak Mahindra Bank,2024-06-01 00:00:00,0.922,0.0693,0.0086,0.9504,2.68,727.46
YES Bank,2022-05-01 00:00:00,0.922,0.0742,0.0038,0,0.09,68.85
Punjab National Bank,2024-09-01 00:00:00,0.922,0.0769,0.0011,0.9521,2.7,851
State Bank of India,2022-10-01 00:00:00,0.9221,0.0659,0.0119,0.9448,8.78,1972.78
Pragathi Krishna Gramin Bank,2023-11-01 00:00:00,0.9221,0.0666,0.0113,0.66,0.12,21.81
Karur Vysya Bank,2022-10-01 00:00:00,0.9221,0.0744,0.0035,0.9694,0.97,40.45
Tamilnad Mercantile Bank,2024-10-01 00:00:00,0.9222,0.0741,0.0038,0.7733,0.16,44.76
Ujjivan Small Finance Bank,2023-02-01 00:00:00,0.9225,0.0671,0.0105,0.6325,0.14,21.17
Kerala Gramin Bank,2024-07-01 00:00:00,0.9226,0.0589,0.0185,0.8344,0.31,31.93
