Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
14,Indian Bank,2022-01-01 00:00:00,0.9259,0.0175,0.0398,0.0167,62.69
18,India Post Payment Bank,2023-04-01 00:00:00,0.926,0.002,0.0094,0.0626,67.58
48,Sarva Haryana Gramin Bank,2022-12-01 00:00:00,0.9262,0.0029,0.0049,0.0661,5.01
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-05-01 00:00:00,0.9263,0.0048,0.0265,0.0424,5.18
36,Punjab and Sind Bank,2022-10-01 00:00:00,0.9264,0.014,0.0023,0.0573,8.71
43,Rajasthan Marudhara Gramin Bank,2022-01-01 00:00:00,0.9264,0.0283,0.0036,0.0416,4.27
20,IDBI Bank,2023-03-01 00:00:00,0.9267,0.0074,0.0036,0.0624,54.35
33,Equitas Bank,2022-09-01 00:00:00,0.927,0.0061,0.0176,0.0555,10.75
36,Punjab and Sind Bank,2024-04-01 00:00:00,0.9273,0.029,0.0079,0.0648,14.56
32,Equitas Bank,2022-06-01 00:00:00,0.9275,0.0036,0.031,0.0379,9.94
50,Karnataka Vikas Grameena Bank,2022-04-01 00:00:00,0.9276,0.0083,0.0254,0.0387,3.55
48,Baroda U.P. Bank,2024-02-01 00:00:00,0.9284,0.0171,0.0082,0.0634,9.18
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-11-01 00:00:00,0.9285,0.0048,0.0234,0.0433,4.21
47,Baroda U.P. Bank,2022-10-01 00:00:00,0.9288,0.0058,0.0236,0.0419,5.63
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-07-01 00:00:00,0.929,0.0084,0.024,0.047,5.45
45,Baroda U.P. Bank,2023-10-01 00:00:00,0.9297,0.0218,0.008,0.0624,9.59
50,Andhra Pragathi Grameena Bank,2023-06-01 00:00:00,0.9297,0.0023,0.027,0.041,6.09
40,Andhra Pradesh Grameena Vikas Bank,2022-10-01 00:00:00,0.93,0.0132,0.0266,0.0302,7.59
48,Baroda U.P. Bank,2022-07-01 00:00:00,0.9301,0.0068,0.0287,0.0344,4.47
46,Tri O Tech Solutions Private Limited,2023-06-01 00:00:00,0.9315,0.0003,0.066,0.0023,7.47
44,Baroda U.P. Bank,2023-07-01 00:00:00,0.933,0.016,0.0074,0.0597,8.28
34,Ujjivan Small Finance Bank,2022-09-01 00:00:00,0.9331,0.005,0.0029,0.064,10.74
44,Rajasthan Marudhara Gramin Bank,2023-02-01 00:00:00,0.9333,0.0029,0.0043,0.0595,6.66
23,IDFC First Bank,2022-10-01 00:00:00,0.9333,0.0062,0.0104,0.0501,36.93
