Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
37,Punjab and Sind Bank,2022-06-01 00:00:00,0.9781,0.0014,0.003,0.0175,7.62
38,Pragathi Krishna Gramin Bank,2023-06-01 00:00:00,0.9781,0.007,0.0038,0.0111,10.09
17,Central Bank of India,2022-05-01 00:00:00,0.9781,0.0044,0.0058,0.0117,61.92
29,Karur Vysya Bank,2024-09-01 00:00:00,0.9781,0.0017,0.0146,0.0073,38.19
35,City Union Bank,2024-06-01 00:00:00,0.9781,0,0.0204,0.0015,21.49
11,Kotak Mahindra Bank,2024-04-01 00:00:00,0.9782,0.0033,0.0113,0.0105,283.22
29,AU Small Finance Bank,2022-12-01 00:00:00,0.9782,0.0012,0.0148,0.0058,16.42
35,Pragathi Krishna Gramin Bank,2022-07-01 00:00:00,0.9783,0.0061,0.0033,0.0123,8.73
22,IDBI Bank,2024-01-01 00:00:00,0.9783,0.004,0.0043,0.0174,62.06
33,Equitas Bank,2022-01-01 00:00:00,0.9783,0.0012,0.0138,0.0067,7.12
40,Equitas Bank,2024-07-01 00:00:00,0.9783,0.0008,0.0165,0.0052,14.09
39,Equitas Bank,2024-01-01 00:00:00,0.9783,0.0001,0.0203,0.0013,12.96
2,State Bank of India,2022-02-01 00:00:00,0.9784,0.0047,0.0037,0.0132,618.15
19,Indian Overseas Bank,2023-04-01 00:00:00,0.9784,0.0007,0.0075,0.0134,57.66
14,Bank of India,2024-11-01 00:00:00,0.9784,0.0048,0.0078,0.0138,215.19
37,Kerala Gramin Bank,2024-09-01 00:00:00,0.9784,0.0058,0.0093,0.0123,18.64
29,AU Small Finance Bank,2023-06-01 00:00:00,0.9784,0.0042,0.0103,0.0071,18.9
23,RBL,2024-04-01 00:00:00,0.9784,0.0007,0.0201,0.0015,52.02
40,Andhra Pradesh Grameena Vikas Bank,2024-06-01 00:00:00,0.9785,0.0085,0.0052,0.0163,13.6
37,CITI Bank,2024-07-01 00:00:00,0.9785,0.0013,0.0149,0.0066,17.74
29,AU Small Finance Bank,2022-06-01 00:00:00,0.9785,0.0013,0.0158,0.0044,12.92
34,Jammu and Kashmir Bank,2023-05-01 00:00:00,0.9786,0.0008,0.0039,0.0167,12.63
23,Fino Payments Bank,2023-08-01 00:00:00,0.9786,0.0007,0.0127,0.0087,47.49
29,AU Small Finance Bank,2022-10-01 00:00:00,0.9786,0.0019,0.017,0.0025,16.05
18,Central Bank of India,2024-07-01 00:00:00,0.9786,0.0012,0.0186,0.0028,100.29
29,AU Small Finance Bank,2022-07-01 00:00:00,0.9786,0.0013,0.0187,0.0014,14
3,State Bank of India,2022-09-01 00:00:00,0.9787,0.0011,0.0026,0.0187,841.59
27,Bandhan Bank,2024-04-01 00:00:00,0.9787,0.0007,0.0028,0.0185,33.71
32,Jammu and Kashmir Bank,2023-09-01 00:00:00,0.9787,0.0024,0.0032,0.018,17.29
16,Central Bank of India,2022-03-01 00:00:00,0.9787,0.009,0.0064,0.0058,59.12
33,Equitas Bank,2022-02-01 00:00:00,0.9787,0.0024,0.0101,0.0087,7.27
42,Pragathi Krishna Gramin Bank,2024-10-01 00:00:00,0.9787,0.0076,0.0105,0.0108,14.38
11,Bank of India,2022-01-01 00:00:00,0.9788,0.0037,0.0067,0.0108,99.09
21,UCO Bank,2022-10-01 00:00:00,0.9788,0.0037,0.007,0.0105,44.71
47,Andhra Pragathi Grameena Bank,2023-11-01 00:00:00,0.9788,0.0004,0.0074,0.0138,7.17
40,Andhra Pradesh Grameena Vikas Bank,2023-09-01 00:00:00,0.9788,0.0028,0.0111,0.0101,10.36
22,IDFC First Bank,2023-05-01 00:00:00,0.9788,0.0018,0.0117,0.0077,43.3
28,South Indian Bank,2024-02-01 00:00:00,0.9788,0.0001,0.021,0.0002,29.77
47,Andhra Pragathi Grameena Bank,2023-08-01 00:00:00,0.9789,0.0003,0.0036,0.0174,6.49
12,Kotak Mahindra Bank,2022-07-01 00:00:00,0.9789,0.0049,0.006,0.0102,131.98
24,Karnataka Bank,2024-04-01 00:00:00,0.9789,0.0009,0.0123,0.0088,46.09
30,AU Small Finance Bank,2022-03-01 00:00:00,0.9789,0.0012,0.0191,0.0008,11.83
14,Indian Bank,2023-03-01 00:00:00,0.979,0.0073,0.0021,0.0116,114.41
31,AU Small Finance Bank,2024-05-01 00:00:00,0.979,0.0012,0.0153,0.0057,27.89
39,Equitas Bank,2024-02-01 00:00:00,0.979,0.0001,0.0185,0.0025,13.15
17,Central Bank of India,2024-04-01 00:00:00,0.9791,0.0052,0.0036,0.0173,92.14
31,City Union Bank,2022-03-01 00:00:00,0.9791,0.0015,0.0107,0.0088,10.64
3,State Bank of India,2022-12-01 00:00:00,0.9792,0.0016,0.0021,0.0171,938.15
16,Airtel Payments Bank,2022-01-01 00:00:00,0.9793,0.0033,0.0079,0.0095,50.67
38,Equitas Bank,2023-12-01 00:00:00,0.9793,0.0001,0.0191,0.0015,12.95
27,Bandhan Bank,2024-05-01 00:00:00,0.9794,0.0006,0.0041,0.0165,35.28
33,Equitas Bank,2022-05-01 00:00:00,0.9794,0.0013,0.0129,0.0064,9.41
46,Rajasthan Marudhara Gramin Bank,2023-09-01 00:00:00,0.9795,0.0018,0.0081,0.0124,8.47
34,City Union Bank,2024-04-01 00:00:00,0.9795,0.0002,0.0182,0.0024,20.6
29,AU Small Finance Bank,2023-10-01 00:00:00,0.9795,0.0014,0.019,0.0015,22.86
45,Maharashtra Gramin Bank,2024-09-01 00:00:00,0.9796,0.0018,0.002,0.0184,12.02
22,Bank of Maharashtra,2022-08-01 00:00:00,0.9796,0.0044,0.0028,0.0177,38.12
10,Canara Bank,2024-05-01 00:00:00,0.9798,0.0036,0.0115,0.0087,305.13
8,Union Bank of India,2024-04-01 00:00:00,0.9799,0.0044,0.0013,0.0188,346.48
34,Jammu and Kashmir Bank,2023-11-01 00:00:00,0.98,0.0027,0.0035,0.0164,19.18
15,Airtel Payments Bank,2022-07-01 00:00:00,0.98,0.005,0.0042,0.0108,75.84
24,Karnataka Bank,2023-03-01 00:00:00,0.98,0.0006,0.0063,0.0131,33.67
25,Karur Vysya Bank,2024-08-01 00:00:00,0.98,0.0027,0.0123,0.0077,46.99
41,DBS Bank,2022-08-01 00:00:00,0.98,0.0004,0.019,0.001,6.76
15,India Post Payment Bank,2024-07-01 00:00:00,0.9801,0.0018,0.0028,0.0171,145.2
23,Fino Payments Bank,2023-09-01 00:00:00,0.9801,0.0007,0.0064,0.0135,50.15
22,Bank of Maharashtra,2022-11-01 00:00:00,0.9802,0.0016,0.0031,0.0151,38.54
45,ESAF Small Finance Bank Ltd,2022-02-01 00:00:00,0.9803,0.0011,0.0033,0.0152,4.11
34,Jammu and Kashmir Bank,2023-10-01 00:00:00,0.9803,0.0017,0.0033,0.0163,18.65
46,Rajasthan Marudhara Gramin Bank,2024-02-01 00:00:00,0.9804,0.0013,0.004,0.0155,10.31
17,India Post Payment Bank,2023-09-01 00:00:00,0.9804,0.0016,0.0042,0.0155,87.55
50,Andhra Pragathi Grameena Bank,2024-01-01 00:00:00,0.9804,0.0022,0.0047,0.0149,7.85
16,India Post Payment Bank,2024-04-01 00:00:00,0.9804,0.0031,0.013,0.0065,111.72
3,State Bank of India,2022-04-01 00:00:00,0.9805,0.0042,0.003,0.0122,741.1
17,Central Bank of India,2022-12-01 00:00:00,0.9805,0.0057,0.0059,0.0078,65.03
26,IDFC First Bank,2024-02-01 00:00:00,0.9805,0.0004,0.0185,0.001,35.13
48,Andhra Pragathi Grameena Bank,2024-08-01 00:00:00,0.9806,0.0013,0.0023,0.0171,8.91
36,Pragathi Krishna Gramin Bank,2022-12-01 00:00:00,0.9806,0.0055,0.0044,0.0095,9.1
9,Canara Bank,2022-03-01 00:00:00,0.9806,0.0052,0.0069,0.0073,142.52
32,Ujjivan Small Finance Bank,2024-01-01 00:00:00,0.9806,0.0041,0.0085,0.0109,19.4
40,DBS Bank,2023-05-01 00:00:00,0.9806,0.001,0.0154,0.003,9.41
11,Canara Bank,2024-03-01 00:00:00,0.9806,0.0019,0.016,0.0035,303.29
26,IDFC First Bank,2024-03-01 00:00:00,0.9806,0.0007,0.0171,0.0023,36.02
3,State Bank of India,2023-04-01 00:00:00,0.9807,0.0023,0.0021,0.0148,966.28
28,Bandhan Bank,2023-11-01 00:00:00,0.9807,0,0.0053,0.014,26.18
27,Bandhan Bank,2022-01-01 00:00:00,0.9807,0.0015,0.0078,0.01,13.17
18,Central Bank of India,2024-10-01 00:00:00,0.9807,0.0028,0.0142,0.0051,116.32
28,Karur Vysya Bank,2023-12-01 00:00:00,0.9807,0.0004,0.0158,0.0035,31.85
29,South Indian Bank,2024-03-01 00:00:00,0.9807,0.0002,0.0187,0.0006,32.16
14,Bank of India,2024-05-01 00:00:00,0.9808,0.004,0.0082,0.011,203.54
47,NSDL Payments Bank,2024-11-01 00:00:00,0.9808,0.0031,0.0119,0.0073,11.06
34,City Union Bank,2024-07-01 00:00:00,0.9808,0.0005,0.0161,0.0031,22.9
26,Bandhan Bank,2024-09-01 00:00:00,0.9809,0.0024,0.0029,0.0161,39.33
26,Karnataka Bank,2023-12-01 00:00:00,0.9809,0.0023,0.0054,0.0137,42.03
15,Central Bank of India,2022-04-01 00:00:00,0.9809,0.0072,0.0058,0.0061,59.29
7,Bank of Baroda,2023-10-01 00:00:00,0.9809,0.0016,0.0084,0.0107,326.93
50,Karnataka Vikas Grameena Bank,2022-08-01 00:00:00,0.981,0.0085,0.0021,0.0169,3.74
24,Bank of Maharashtra,2023-09-01 00:00:00,0.981,0.0028,0.003,0.016,45.61
39,DBS Bank,2023-02-01 00:00:00,0.981,0.0016,0.0149,0.0026,8.3
39,DBS Bank,2022-06-01 00:00:00,0.981,0.0006,0.0173,0.0011,6.61
44,Maharashtra Gramin Bank,2024-10-01 00:00:00,0.9811,0.005,0.0016,0.0174,13.65
48,Saraswat Bank,2023-07-01 00:00:00,0.9811,0.002,0.0018,0.0172,6.64
9,Canara Bank,2022-09-01 00:00:00,0.9811,0.0039,0.0041,0.0148,162.67
15,Airtel Payments Bank,2023-06-01 00:00:00,0.9812,0.0034,0.0041,0.0113,116.09
37,Kerala Gramin Bank,2024-05-01 00:00:00,0.9812,0.004,0.0097,0.0091,15.56
21,IDBI Bank,2024-03-01 00:00:00,0.9813,0.0016,0.0074,0.0113,65.49
16,IndusInd Bank,2023-09-01 00:00:00,0.9814,0.0088,0.0026,0.016,102.49
15,Indian Bank,2022-09-01 00:00:00,0.9814,0.0043,0.003,0.0156,88.2
18,Central Bank of India,2024-03-01 00:00:00,0.9814,0.0058,0.004,0.0146,93.29
20,IDBI Bank,2022-11-01 00:00:00,0.9814,0.002,0.0047,0.0119,48.77
37,Punjab and Sind Bank,2024-01-01 00:00:00,0.9814,0.0062,0.0124,0.0062,13.75
46,RBL,2022-10-01 00:00:00,0.9814,0.0007,0.0133,0.0046,5.95
45,Maharashtra Gramin Bank,2024-02-01 00:00:00,0.9815,0.0017,0.0032,0.0153,10.56
9,Canara Bank,2022-04-01 00:00:00,0.9815,0.0077,0.0054,0.0054,142.04
23,Fino Payments Bank,2023-11-01 00:00:00,0.9815,0.001,0.007,0.0115,44.77
39,DBS Bank,2023-03-01 00:00:00,0.9816,0.0013,0.0134,0.0037,9.25
17,India Post Payment Bank,2024-01-01 00:00:00,0.9817,0.0016,0.0038,0.0145,113.35
23,India Post Payment Bank,2022-02-01 00:00:00,0.9817,0.0038,0.004,0.0105,23.37
17,Indian Overseas Bank,2024-10-01 00:00:00,0.9817,0.0077,0.0047,0.0136,122.14
42,Pragathi Krishna Gramin Bank,2024-06-01 00:00:00,0.9817,0.0058,0.0099,0.0083,12.98
31,City Union Bank,2022-02-01 00:00:00,0.9817,0.0011,0.0117,0.0056,9.09
10,Canara Bank,2024-04-01 00:00:00,0.9817,0.0021,0.0124,0.0059,297.27
6,HDFC Bank,2024-02-01 00:00:00,0.9817,0.0014,0.0146,0.0037,553.52
11,Kotak Mahindra Bank,2022-03-01 00:00:00,0.9818,0.0092,0.0067,0.0022,115.13
16,Central Bank of India,2022-02-01 00:00:00,0.9818,0.0077,0.0069,0.0036,51.07
20,UCO Bank,2022-07-01 00:00:00,0.9818,0.0025,0.007,0.0087,39.36
39,Jio Payments Bank,2024-08-01 00:00:00,0.982,0.0043,0.0085,0.0094,14.7
22,IDFC First Bank,2022-01-01 00:00:00,0.982,0.0049,0.0102,0.0029,24.19
6,HDFC Bank,2024-01-01 00:00:00,0.982,0.0001,0.0176,0.0004,549.54
23,Bank of Maharashtra,2023-07-01 00:00:00,0.9821,0.0027,0.0021,0.0158,44.04
41,DBS Bank,2023-11-01 00:00:00,0.9821,0.0004,0.017,0.0008,9.6
3,State Bank of India,2023-03-01 00:00:00,0.9822,0.0017,0.0021,0.0141,972.24
11,Kotak Mahindra Bank,2022-05-01 00:00:00,0.9822,0.0049,0.0053,0.0076,127.46
41,DBS Bank,2023-08-01 00:00:00,0.9822,0.0029,0.0122,0.0056,9.69
43,Equitas Bank,2024-11-01 00:00:00,0.9822,0,0.0146,0.0032,13.26
21,IDBI Bank,2023-04-01 00:00:00,0.9823,0.0004,0.0038,0.0135,51.34
10,Punjab National Bank,2022-07-01 00:00:00,0.9823,0.0043,0.0052,0.0081,147.86
37,Equitas Bank,2024-04-01 00:00:00,0.9823,0.0002,0.015,0.0027,14.05
32,DBS Bank,2022-02-01 00:00:00,0.9823,0.0009,0.0152,0.0016,8.21
29,AU Small Finance Bank,2023-01-01 00:00:00,0.9823,0.0001,0.0167,0.001,16.74
7,Bank of Baroda,2023-08-01 00:00:00,0.9824,0.0017,0.0017,0.0159,308.67
33,Ujjivan Small Finance Bank,2023-10-01 00:00:00,0.9824,0.0045,0.0024,0.0151,18.2
18,Indian Overseas Bank,2024-04-01 00:00:00,0.9824,0.0035,0.0045,0.0131,87.08
27,Bandhan Bank,2022-06-01 00:00:00,0.9824,0.0012,0.0051,0.0112,16.73
17,IndusInd Bank,2022-01-01 00:00:00,0.9824,0.0082,0.0071,0.0022,41.99
24,Karur Vysya Bank,2024-06-01 00:00:00,0.9824,0.0007,0.0111,0.0065,36.29
29,AU Small Finance Bank,2023-02-01 00:00:00,0.9824,0.0001,0.0171,0.0005,15.82
37,Kerala Gramin Bank,2023-10-01 00:00:00,0.9825,0.0055,0.0024,0.0151,12.93
20,UCO Bank,2023-04-01 00:00:00,0.9825,0.003,0.0069,0.0077,52.37
30,City Union Bank,2023-03-01 00:00:00,0.9825,0.0011,0.0105,0.0059,14.84
43,ESAF Small Finance Bank Ltd,2023-06-01 00:00:00,0.9826,0.0015,0.0012,0.0147,7.75
4,ICICI Bank,2023-03-01 00:00:00,0.9826,0.0044,0.0024,0.0106,601.02
49,Sarva Haryana Gramin Bank,2023-07-01 00:00:00,0.9826,0.0019,0.0048,0.0126,6.08
10,Punjab National Bank,2022-02-01 00:00:00,0.9826,0.0029,0.0058,0.0087,112.52
35,Punjab and Sind Bank,2022-11-01 00:00:00,0.9827,0.0031,0.0022,0.012,8.84
15,Indian Bank,2023-02-01 00:00:00,0.9827,0.0028,0.0039,0.0106,99.83
20,UCO Bank,2024-09-01 00:00:00,0.9827,0.001,0.0044,0.0129,91.36
11,Bank of India,2022-02-01 00:00:00,0.9827,0.0048,0.0044,0.0082,95.11
22,Karnataka Bank,2022-02-01 00:00:00,0.9827,0.0035,0.0071,0.0067,24.19
17,Central Bank of India,2023-02-01 00:00:00,0.9827,0.0039,0.0072,0.0062,62.78
13,Kotak Mahindra Bank,2022-02-01 00:00:00,0.9827,0.0085,0.0075,0.0012,92.4
11,Punjab National Bank,2022-12-01 00:00:00,0.9827,0.0019,0.0083,0.0071,174.36
25,Karnataka Bank,2024-02-01 00:00:00,0.9827,0.0004,0.01,0.0073,41.82
48,Saraswat Bank,2023-06-01 00:00:00,0.9828,0.0046,0.0019,0.0107,6.35
41,ESAF Small Finance Bank Ltd,2022-12-01 00:00:00,0.9828,0.0009,0.0023,0.0141,7.11
26,RBL,2023-09-01 00:00:00,0.9828,0.0037,0.003,0.0142,30.68
4,Axis Bank,2022-04-01 00:00:00,0.9828,0.0041,0.0125,0.0006,408.62
22,Bank of Maharashtra,2022-07-01 00:00:00,0.9829,0.0045,0.0024,0.0102,37.57
42,Maharashtra Gramin Bank,2023-11-01 00:00:00,0.9829,0.0014,0.0026,0.0145,9.6
45,Maharashtra Gramin Bank,2024-08-01 00:00:00,0.9829,0.0017,0.0028,0.0143,11.41
31,Tamilnad Mercantile Bank,2023-02-01 00:00:00,0.9829,0.001,0.0036,0.0124,12.46
17,Central Bank of India,2023-04-01 00:00:00,0.9829,0.0044,0.0058,0.0069,71.27
22,India Post Payment Bank,2022-05-01 00:00:00,0.9829,0.002,0.0059,0.0092,34.53
4,Axis Bank,2022-08-01 00:00:00,0.9829,0.0031,0.0114,0.0057,489.54
26,Karur Vysya Bank,2024-04-01 00:00:00,0.9829,0.0008,0.0119,0.0052,34.16
18,Indian Overseas Bank,2024-09-01 00:00:00,0.983,0.0098,0.0017,0.0153,108.08
20,UCO Bank,2022-05-01 00:00:00,0.983,0.003,0.0052,0.0088,37.05
10,Punjab National Bank,2022-01-01 00:00:00,0.983,0.0037,0.0071,0.0063,114.09
12,Kotak Mahindra Bank,2023-07-01 00:00:00,0.983,0.0006,0.0148,0.0022,200.84
32,Tamilnad Mercantile Bank,2024-03-01 00:00:00,0.9831,0.0027,0.001,0.0159,24.37
35,Pragathi Krishna Gramin Bank,2022-08-01 00:00:00,0.9831,0.0063,0.0039,0.013,8.71
25,Fino Payments Bank,2023-06-01 00:00:00,0.9831,0.0004,0.0059,0.0106,29.84
25,IDFC First Bank,2022-04-01 00:00:00,0.9831,0.0032,0.0088,0.005,21.27
25,IDFC First Bank,2022-03-01 00:00:00,0.9831,0.0056,0.0091,0.0022,20.88
24,Fino Payments Bank,2024-02-01 00:00:00,0.9831,0.0015,0.0131,0.0038,48.84
23,Karnataka Bank,2024-05-01 00:00:00,0.9831,0.0004,0.014,0.003,48.13
12,Kotak Mahindra Bank,2023-03-01 00:00:00,0.9832,0.0037,0.0043,0.0088,186.19
21,UCO Bank,2022-08-01 00:00:00,0.9832,0.0015,0.0074,0.0094,41.37
30,AU Small Finance Bank,2023-07-01 00:00:00,0.9832,0.0002,0.016,0.0008,20.3
25,Karur Vysya Bank,2022-06-01 00:00:00,0.9833,0.0004,0.0034,0.0129,23.1
24,Karnataka Bank,2022-12-01 00:00:00,0.9833,0.0006,0.008,0.0082,32.03
12,Kotak Mahindra Bank,2023-02-01 00:00:00,0.9834,0.006,0.0057,0.0049,162.23
17,Central Bank of India,2023-05-01 00:00:00,0.9834,0.0047,0.0066,0.0053,74.5
13,Bank of India,2023-05-01 00:00:00,0.9835,0.0009,0.0024,0.0132,151.38
3,State Bank of India,2022-05-01 00:00:00,0.9835,0.0023,0.0029,0.0113,771.93
48,DBS Bank,2024-11-01 00:00:00,0.9835,0.0013,0.0114,0.005,10.59
39,DBS Bank,2023-01-01 00:00:00,0.9835,0.0013,0.0149,0.0003,8.93
22,Bank of Maharashtra,2022-10-01 00:00:00,0.9836,0.0018,0.0029,0.0117,39.9
16,IndusInd Bank,2023-10-01 00:00:00,0.9836,0.003,0.0037,0.0128,129.76
31,City Union Bank,2022-06-01 00:00:00,0.9836,0.0002,0.0073,0.0089,11.47
31,City Union Bank,2023-04-01 00:00:00,0.9836,0.0007,0.0108,0.0049,14.52
41,DBS Bank,2023-06-01 00:00:00,0.9836,0.0012,0.014,0.0012,9.16
31,City Union Bank,2023-11-01 00:00:00,0.9836,0.0006,0.0145,0.0019,17.92
20,IDBI Bank,2023-01-01 00:00:00,0.9837,0.0027,0.0039,0.0098,50.98
20,IDBI Bank,2023-02-01 00:00:00,0.9837,0.0014,0.0045,0.0104,47.42
41,Kerala Gramin Bank,2022-07-01 00:00:00,0.9837,0.0043,0.0055,0.0065,6.41
20,India Post Payment Bank,2022-08-01 00:00:00,0.9837,0.0014,0.0063,0.01,45.06
22,UCO Bank,2023-01-01 00:00:00,0.9837,0.0015,0.0076,0.0072,47.69
45,Jio Payments Bank,2024-07-01 00:00:00,0.9837,0.0023,0.0083,0.008,11.6
38,Pragathi Krishna Gramin Bank,2023-04-01 00:00:00,0.9838,0.0107,0.0027,0.0029,9.78
36,Pragathi Krishna Gramin Bank,2022-09-01 00:00:00,0.9838,0.0057,0.004,0.0122,8.58
38,Pragathi Krishna Gramin Bank,2023-10-01 00:00:00,0.9838,0.0049,0.0041,0.0122,11.58
10,Punjab National Bank,2023-08-01 00:00:00,0.9838,0.0023,0.0046,0.0116,234.84
18,Central Bank of India,2023-07-01 00:00:00,0.9838,0.0048,0.0057,0.0106,76.44
37,Kerala Gramin Bank,2022-12-01 00:00:00,0.9838,0.0037,0.0076,0.0049,8.99
40,Andhra Pradesh Grameena Vikas Bank,2024-02-01 00:00:00,0.9838,0.0014,0.0123,0.004,12.36
41,DBS Bank,2023-07-01 00:00:00,0.9838,0.0015,0.0125,0.0037,9.44
24,RBL,2024-05-01 00:00:00,0.9838,0.0012,0.0139,0.0023,45.73
39,DBS Bank,2022-05-01 00:00:00,0.9838,0.0007,0.0152,0.0004,6.59
44,DBS Bank,2024-01-01 00:00:00,0.9838,0.0006,0.0156,0.0006,10.3
47,Saraswat Bank,2023-04-01 00:00:00,0.9839,0.001,0.0021,0.0129,6.39
28,Bandhan Bank,2024-07-01 00:00:00,0.9839,0.0003,0.0036,0.0125,37.36
31,City Union Bank,2022-07-01 00:00:00,0.9839,0.001,0.0076,0.0075,11.88
20,UCO Bank,2023-11-01 00:00:00,0.9839,0.0008,0.0079,0.0082,67.33
30,AU Small Finance Bank,2023-04-01 00:00:00,0.9839,0.0019,0.0134,0.0008,18.18
47,DBS Bank,2024-09-01 00:00:00,0.9839,0.0001,0.0136,0.0026,11.13
22,Bank of Maharashtra,2024-07-01 00:00:00,0.984,0.0032,0.0039,0.0121,64.74
22,India Post Payment Bank,2022-04-01 00:00:00,0.984,0.002,0.0059,0.0082,31.26
28,South Indian Bank,2024-04-01 00:00:00,0.984,0.0002,0.0149,0.0011,32.2
37,Kerala Gramin Bank,2023-11-01 00:00:00,0.9841,0.0059,0.0022,0.0138,13.43
32,RBL,2023-08-01 00:00:00,0.9841,0.0025,0.0039,0.012,26.86
11,Punjab National Bank,2023-01-01 00:00:00,0.9841,0.002,0.0047,0.0093,176.63
18,Central Bank of India,2023-11-01 00:00:00,0.9841,0.0045,0.0057,0.0102,82.64
23,Karnataka Bank,2022-03-01 00:00:00,0.9841,0.0029,0.0092,0.0038,28.48
22,IDFC First Bank,2023-07-01 00:00:00,0.9841,0.0021,0.01,0.0059,49.55
48,DBS Bank,2024-10-01 00:00:00,0.9841,0.0005,0.0132,0.0027,11.7
6,HDFC Bank,2022-01-01 00:00:00,0.9841,0.0017,0.0135,0.0006,246.23
48,DBS Bank,2024-06-01 00:00:00,0.9841,0.0002,0.0144,0.0015,10.36
28,Jammu and Kashmir Bank,2024-10-01 00:00:00,0.9842,0.0119,0.0017,0.0141,41.43
10,Punjab National Bank,2022-08-01 00:00:00,0.9842,0.0029,0.0047,0.0111,155.25
9,Canara Bank,2022-07-01 00:00:00,0.9842,0.0036,0.0051,0.0071,156.6
10,Punjab National Bank,2022-03-01 00:00:00,0.9842,0.0021,0.0055,0.0082,133.47
25,IDFC First Bank,2022-02-01 00:00:00,0.9842,0.0016,0.0088,0.0055,18
27,Karur Vysya Bank,2024-01-01 00:00:00,0.9842,0.0004,0.0132,0.0025,31.32
48,DBS Bank,2024-07-01 00:00:00,0.9842,0.0001,0.0133,0.0024,10.79
21,IDBI Bank,2023-11-01 00:00:00,0.9843,0.0047,0.0048,0.0109,58.83
40,Kerala Gramin Bank,2022-09-01 00:00:00,0.9843,0.0051,0.007,0.0087,7.01
18,Central Bank of India,2024-11-01 00:00:00,0.9843,0.006,0.0101,0.0055,105.6
11,Canara Bank,2024-01-01 00:00:00,0.9843,0.0017,0.013,0.0028,268.36
25,IDFC First Bank,2023-12-01 00:00:00,0.9843,0.0003,0.0153,0.0004,47.49
19,Indian Overseas Bank,2023-12-01 00:00:00,0.9844,0.005,0.0032,0.0123,75.21
27,Bandhan Bank,2022-02-01 00:00:00,0.9844,0.0009,0.0065,0.0082,13.22
30,City Union Bank,2022-11-01 00:00:00,0.9844,0.0008,0.0085,0.0063,12.88
18,Central Bank of India,2023-08-01 00:00:00,0.9845,0.005,0.0058,0.0096,80.15
31,City Union Bank,2022-10-01 00:00:00,0.9845,0.0009,0.0089,0.0057,12.82
25,IDFC First Bank,2023-11-01 00:00:00,0.9845,0.0015,0.0139,0.0016,48.61
39,Andhra Pradesh Grameena Vikas Bank,2022-11-01 00:00:00,0.9846,0.0039,0.0026,0.0089,7.64
19,Indian Overseas Bank,2024-02-01 00:00:00,0.9846,0.0045,0.0047,0.0107,78.84
32,DBS Bank,2022-04-01 00:00:00,0.9846,0.0009,0.0125,0.0019,9.27
41,Saraswat Bank,2022-02-01 00:00:00,0.9847,0.004,0.0033,0.0081,4.66
40,Andhra Pradesh Grameena Vikas Bank,2023-08-01 00:00:00,0.9847,0.0011,0.0062,0.0091,10.26
24,Karnataka Bank,2023-10-01 00:00:00,0.9847,0.0005,0.0071,0.0082,39.45
14,Bank of India,2024-07-01 00:00:00,0.9847,0.0056,0.0071,0.0082,212.52
13,Indian Bank,2024-05-01 00:00:00,0.9847,0.0021,0.0132,0.0022,230.91
7,Bank of Baroda,2023-02-01 00:00:00,0.9848,0.0016,0.0041,0.0095,236.71
18,Central Bank of India,2023-01-01 00:00:00,0.9848,0.0045,0.0059,0.0048,65.86
22,IDFC First Bank,2023-06-01 00:00:00,0.9848,0.0014,0.0099,0.0039,41.95
26,The Jammu And Kashmir Bank,2024-11-01 00:00:00,0.9849,0.0112,0.0023,0.0127,41.98
18,IDBI Bank,2022-09-01 00:00:00,0.9849,0.0021,0.0046,0.0105,48.17
19,UCO Bank,2024-04-01 00:00:00,0.9849,0.0009,0.007,0.0081,84.09
31,City Union Bank,2022-09-01 00:00:00,0.9849,0.0007,0.0085,0.0066,12.28
11,Canara Bank,2024-02-01 00:00:00,0.9849,0.0017,0.0123,0.0029,272.27
38,Equitas Bank,2024-05-01 00:00:00,0.9849,0.0006,0.0132,0.0019,14.39
50,Karnataka Vikas Grameena Bank,2023-01-01 00:00:00,0.985,0.0015,0.0024,0.011,3.98
23,Karnataka Bank,2024-06-01 00:00:00,0.985,0.0011,0.0113,0.0037,47.71
47,ESAF Small Finance Bank Ltd,2024-06-01 00:00:00,0.985,0.0003,0.0142,0.0008,10.88
36,Pragathi Krishna Gramin Bank,2022-03-01 00:00:00,0.9851,0.0069,0.003,0.005,7.55
17,India Post Payment Bank,2023-10-01 00:00:00,0.9851,0.0004,0.0039,0.011,96.97
17,IndusInd Bank,2022-03-01 00:00:00,0.9851,0.0024,0.009,0.0035,51.42
6,Bank of Baroda,2024-04-01 00:00:00,0.9851,0.0031,0.0101,0.0049,376.04
40,DBS Bank,2022-11-01 00:00:00,0.9851,0.0002,0.0141,0.0006,6.87
42,ESAF Small Finance Bank Ltd,2022-08-01 00:00:00,0.9852,0.0021,0.002,0.0128,5.98
43,ESAF Small Finance Bank Ltd,2022-07-01 00:00:00,0.9852,0.0025,0.0021,0.0102,5.62
3,State Bank of India,2023-01-01 00:00:00,0.9852,0.0017,0.0022,0.0109,931.08
34,Jammu and Kashmir Bank,2023-07-01 00:00:00,0.9852,0.0011,0.0032,0.0116,14.39
41,Jio Payments Bank,2024-06-01 00:00:00,0.9852,0.0106,0.0039,0.0109,13.28
